iter	RMSE
0	1094.465572
1	1041.096011
2	991.6222968
3	944.6561905
4	902.9371866
5	863.9058101
6	827.5027203
7	792.4540093
8	760.7043212
9	729.7930006
10	702.7559205
11	677.0511587
12	653.2177479
13	630.3243626
14	610.7704696
15	591.9217701
16	574.0347957
17	558.0831157
18	542.9273141
19	529.1845303
20	516.9570226
21	505.4712008
22	495.4102036
23	485.9849012
24	477.6238299
25	470.0849082
26	462.9755957
27	456.9672866
28	451.1285555
29	445.8160861
30	441.0101961
31	436.8320502
32	432.8687732
33	429.5325844
34	429.4196477
35	426.6207731
36	424.0281038
37	421.5053362
38	419.3073879
39	417.3364282
40	415.5827009
41	413.8370717
42	412.3896178
43	411.1293247
44	409.9535928
45	408.9603173
46	408.0151047	407.5845542
48	406.7022949
49	406.0242667
50	405.4048247
51	404.809015
52	404.2743253
53	403.7552208
54	403.3129825
55	402.9027899
56	402.5495589
57	402.189651
58	401.93759	3959	401.64460	399.0262917
61	398.78169
62	398.62	400.9069188
63	400.7184512
64	400.5169684
65	400.3195803
66	400.1185917
67	399.9820264
68	399.8423241
69	399.770	397.2929041
71	397.1508044
72	397.0500255
73	396.9371485
74	396.8286301
75	396.7405639
76	396.6520149
77	396.5722375
78	396.4954001
79	396.4526119
80	396.3929761
81	396.3180405
82	396.2793173
83	396.2351862
84	396.1889041
85	396.1048291
86	396.086	396.699453
87	396.6545283
88	396.6102481
89	396.5416674
90	396.5006909
91	396.4540139
92	396.4269695
93	396.4170587
94	396.3705375
95	396.3203324
96	396.2990342
97	396.2611519
98	396.2358313
99	396.1986075
100	396.1693017
101	396.1317143
102	396.0955148
103	396.0765935
104	396.0119925
105	396.0065053
106	395.9778683
107	395.9306292
108	395.8935396
109	395.8736129
110	395.8495827
111	395.8254381
112	395.8075555
113	395.7475379
114	395.7280087
115	395.7145558
116	395.6851749
117	395.6647385
118	395.6628998
119	395.6284771
120	395.6047308
121	395.5597462
122	395.5578027
123	395.5516658
124	395.4878971
125	395.4485449
126	395.4240833
127	395.3587791
128	395.3243564
129	395.3163683
130	395.2888894
131	395.2445199
132	395.1974184
133	395.1694777
134	395.1366676
135	395.1176001
136	395.1078736
137	395.1014579
138	395.0762485
139	395.0460057
140	394.9721846
141	394.9214597
142	394.8988455
143	394.8888734
144	394.8320361
145	394.8225769
146	394.7732458
147	394.6906368
148	394.6819718
149	394.6771611
150	394.6021516
151	394.5616424
152	394.5063208
153	394.4556942
154	394.4392113
155	394.3805294
156	394.3410916
157	394.3060642
158	394.3002847
159	394.2717074
160	394.2260692
161	394.1793135
162	394.1583598
163	394.1183438
164	394.0846341
165	394.0397538
166	394.0192832
167	393.9583222
168	393.9273367
