iter	Passed	Remaining
0	78	78906
1	80	40313
2	83	27821
3	87	21904
4	90	17949
5	113	18732
6	115	16334
7	117	14549
8	119	13158
9	165	16372
10	167	15097
11	170	14014
12	172	13096
13	174	12310
14	177	11629
15	179	11031
16	181	10501
17	183	10030
18	186	9605
19	188	9224
20	190	8878
21	192	8564
22	194	8275
23	197	8012
24	199	7766
25	201	7548
26	203	7341
27	205	7144
28	208	6966
29	210	6798
30	212	6638
31	214	6488
32	216	635034	448	12353
35	449	12044
36	451	11753
37	453	11471
38	454	11203
39	456	10955
40	458	10716
41	459	10486
42	462	10289
43	463	10080
44	466	9890445	467	947	396	7865
48	431	8379
49	449	8532
50	476	8861
51	478	8716
52	513	9169
53	534	9364
54	558	9594
55	560	9447
56	606	10034
57	636	10329
58	637	10175
59	657	10299
60	659	10151
6160	633	975162	724	10770
63	726	10622
64	737	10604
65	738	10456
66	741	10321
67	743	10184
68	744	10048
69	746	9919
70	74970	695	9105
71	697	8994
72	699	8886
73	701	8781
74	733	9044
75	735	8944
76	737	8838
77	738	8734
78	740	8631
79	742	8538
80	745	8455
81	748	8377
82	752	8317
83	755	8234
84	757	8151
85	760	8077
86	761	7990
87	762	7905
88	764	7823
89	787	994	10303
88	1000	10238
89	1002	10136
90	1017	10162
91	1024	10106
92	1034	10093
93	1036	9988
94	1038	9889
95	1040	9795
96	1051	9785
97	1053	9693
98	1104	10055
99	1107	9964
100	1127	10034
101	1149	10121
102	1151	10029
103	1153	9938
104	1196	10197
105	1197	10101
106	1218	10172
107	1240	10243
108	1242	10155
109	1276	10331
110	1299	10405
111	1301	10316
112	1342	10535
113	1373	10672
114	1375	10585
115	1413	10773
116	1427	10774
117	1451	10850
118	1481	10967
119	1483	10879
120	1516	11014
121	1538	11070
122	1539	10979
123	1557	11005
124	1580	11065
125	1592	11043
126	1594	10960
127	1619	11031
128	1646	11114
129	1648	11029
130	1678	11135
131	1700	11185
132	1703	11101
133	1726	11159
134	1750	11217
135	1768	11236
136	1770	11154
137	1777	11101
138	1778	11019
139	1787	10978
140	1788	10898
141	1806	10918
142	1808	10838
143	1815	10793
144	1817	10716
145	1829	10703
146	1831	10629
147	1833	10556
148	1835	10481
149	1836	10408
150	1844	10372
151	1849	10315
152	1850	10244
153	1858	10211
154	1901	10364
155	1903	10298
156	1925	10341
157	1927	10274
158	1940	10264
159	1963	10306
160	1965	10241
161	1988	10287
162	1990	10222
163	2013	10265
164	2029	10272
165	2031	10208
166	2066	10308
167	2078	10293
168	2080	10227
169	2101	10257
170	2138	10366
171	2151	10356
172	2160	10326
173	2162	10265
174	2204	10391
175	2219	10391
176	2221	10329
177	2240	10345
178	2267	10398
179	2269	10338
180	2292	10373
181	2318	10419
182	2320	10360
183	2346	10404
184	2374	10462
185	2376	10402
186	2392	10403
187	2394	10341
188	2427	10416
189	2456	10471
190	2458	10412
191	2486	10462
192	2501	10461
193	2521	10474
194	2523	10416
195	2525	10359
196	2583	10530
197	2599	10530
198	2616	10532
199	2618	10473
200	2665	10597
201	2682	10595
202	2701	10607
203	2726	10640
204	2747	10656
205	2749	10597
206	2795	10708
207	2797	10650
208	2831	10716
209	2859	10755
210	2876	10755
211	2878	10699
212	2936	10849
213	2938	10791
214	2939	10734
215	2961	10749
216	2963	10692
217	2964	10635
218	2966	10578
219	2967	10522
220	2969	10467
221	2971	10415
222	2973	10361
223	2976	10309
224	2977	10256
225	2980	10207
226	2982	10157
227	2984	10106
228	2986	10055
229	2988	10004
230	2989	9953
231	2991	9902
232	2992	9851
233	2993	9800
234	2996	9753
235	2997	9704
236	2998	9653
237	2999	9604
238	3001	9556
239	3003	9510
240	3004	9463
241	3006	9416
242	3007	9369
243	3009	9324
244	3010	9278
245	3012	9232
246	3013	9187
247	3015	9142
248	3016	9098
249	3018	9054
250	3019	9010
251	3020	8966
252	3022	8923
253	3023	8880
254	3025	8837
255	3026	8795
256	3028	8756
257	3030	8715
258	3032	8674
259	3033	8633
260	3034	8592
261	3036	8553
262	3037	8512
263	3039	8472
264	3040	8433
265	3041	8393
266	3043	8356
267	3045	8318
268	3046	8279
269	3048	8241
270	3050	8205
271	3052	8169
272	3053	8132
273	3055	8095
274	3056	8058
275	3057	8021
276	3059	7986
277	3061	7950
278	3062	7914
279	3063	7878
280	3065	7844
281	3067	7809
282	3068	7774
283	3070	7739
284	3071	7705
285	3072	7671
286	3074	7637
287	3075	7603
288	3077	7570
289	3078	7536
290	3079	7503
291	3081	7470
292	3082	7438
293	3084	7407
294	3085	7374
295	3087	7342
296	3088	7310
297	3090	7279
298	3092	7250
299	3093	7219
300	3095	7188
301	3097	7158
302	3098	7127
303	3099	7097
304	3103	7072
305	3105	7043
306	3106	7013
307	3109	6985
308	3110	6956
309	3112	6926
310	3113	6897
311	3114	6868
312	3117	6842
313	3118	6813
314	3120	6785
315	3121	6756
316	3122	6728
317	3125	6703
318	3126	6675
319	3128	6647
320	3129	6620
321	3131	6594
322	3133	6567
323	3134	6539
324	3135	6512
325	3137	6485
326	3138	6459
327	3141	6435
328	3142	6409
329	3143	6383
330	3145	6357
331	3146	6331
332	3149	6307
333	3150	6281
334	3151	6256
335	3153	6231
336	3154	6206
337	3157	6183
338	3158	6159
339	3160	6134
340	3161	6109
341	3162	6085
342	3165	6062
343	3166	6038
344	3167	6014
345	3169	5990
346	3170	5966
347	3173	5944
348	3174	5921
349	3175	5897
350	3177	5874
351	3178	5851
352	3181	5830
353	3182	5807
354	3183	5784
355	3185	5761
356	3186	5739
357	3188	5375	3187	5290
376	3189	5270
377	3190	5250
378	3223	5281
379	3225	5263
380	3227	5244
381	3229	5225
382	3231	5206
383	3304	5301
384	3314	5294
385	3329	5295
386	3331	5276
387	3364	5306
388	3365	5286
389	3402	5322
390	3431	5344
391	3457	5362
392	3459	5342
393	3487	5364
394	3502	5364
395	3504	5345
396	3545	5384
397	3578	5412
398	3603	5427
399	3605	5407
400	3634	5429
401	3636	5409
402	3672	5439
403	3683	5433
404	3696	5431
405	3699	5411
406	3723	5425
407	3729	5411
408	3745	5412
409	3747	5392
410	3749	5373
411	3803	5428
412	3821	5431
413	3824	5412
414	3826	5394
415	3830	5377
416	3833	5359
417	3837	5343
418	3846	5333
419	3851	5319
420	3855	5302
421	3860	5287
422	3863	5270
423	3870	5258
424	3875	5242
425	3879	5227
426	3884	5212
427	3885	5192
428	3886	5173
429	3888	5154
430	3893	5139
431	3898	5126
432	3901	5109
433	3911	5101
434	3913	5083
435	3915	5064
436	3917	5046
437	3919	5028
438	3921	5010
439	3923	4992
440	3924	4975
441	3926	4957
442	3928	4939
443	3930	4921
444	3932	4904
445	3934	4886
446	3936	4869
447	3937	4852
448	3939	4834
449	3941	4817
450	3943	4800
451	3945	4783
452	3947	4766
453	3949	4749
454	3955	4737
455	3959	4723
456	3995	4747
457	4018	4755
458	4032	4753
459	4034	4735
460	4035	4718
461	4060	4728
462	4068	4719
463	4086	4720
464	4088	4703
465	4092	4689
466	4111	4692
467	4120	4684
468	4122	4667
469	4141	4670
470	4143	4653
471	4161	4654
472	4167	4643
473	4169	4627
474	4181	4622
475	4183	4605
476	4185	4588
477	4207	4594
478	4217	4587
479	4234	4586
480	4235	4570
481	4248	4565
482	4250	4549
483	4283	4566
484	4295	4561
485	4303	4551
486	4305	4535
487	4314	4526
488	4319	4513
489	4321	4497
490	4325	4483
491	4337	4478
492	4341	4464
493	4344	4450
494	4346	4434
495	4349	4419
496	4354	4406
497	4356	4391
498	4361	4378
499	4363	4363
500	4365	4347
501	4366	4331
502	4371	4319
503	4388	4319
504	4395	4308
505	4423	4318
506	4425	4302
507	4447	4307
508	4468	4310
509	4470	4295
510	4472	4280
511	4485	4275
512	4487	4260
513	4489	4244
514	4490	4229
515	4492	4213
516	4493	4198
517	4495	4183
518	4497	4168
519	4498	4152
520	4500	4137
521	4503	4124
522	4505	4109
523	4506	4094
524	4508	4079
525	4510	4064
526	4511	4049
527	4513	4035
528	4515	4020
529	4516	4005
530	4518	3991
531	4521	3977
532	4525	3964
533	4528	3952
534	4533	3939
535	4535	3926
536	4539	3913
537	4540	3899
538	4542	3885
539	4544	3871
540	4546	3857
541	4548	3843
542	4550	3830
543	4554	3817
544	4557	3804
545	4560	3791
546	4561	3777
547	4563	3764
548	4568	3753
549	4572	3741
550	4581	3733
551	4588	3724
552	4590	3710
553	4606	3708
554	4615	3700
555	4621	3690
556	4626	3679
557	4635	3671
558	4637	3658
559	4638	3644
560	4640	3631
561	4652	3626
562	4659	3616
563	4661	3603
564	4663	3590
565	4668	3580
566	4677	3571
567	4683	3562
568	4685	3549
569	4690	3538
570	4693	3525
571	4694	3512
572	4696	3499
573	4704	3491
574	4711	3482
575	4714	3470
576	4716	3457
577	4717	3444
578	4719	3431
579	4722	3419
580	4725	3407
581	4727	3395
582	4728	3382
583	4729	3369
584	4731	3356
585	4732	3343
586	4734	3330
587	4735	3318
588	4738	3306
589	4741	3294
590	4743	3282
591	4747	3271
592	4750	3260
593	4752	3248
594	4753	3235
595	4754	3223
596	4757	3211
597	4759	3199
598	4761	3187
